location,parameter,dss file,dss path
Folsom Dyke 8,Wind Speed,forecast/simGroups/T2018/bc.dss,/MR Am.-Folsom Lake/Dyke 8 (FLD)-Wind Speed/Speed-Wind//1Hour/Mar50-H-2018/
Folsom Dyke 8,Wind Direction,forecast/simGroups/T2018/bc.dss,/MR Am.-Folsom Lake/Dyke 8 (FLD)-Wind Direction/Dir-Wind//1Hour/Mar50-H-2018/
Fair Oaks,Air Temperature,forecast/simGroups/T2018/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Air Temp/Temp-Air//1Hour/Mar50-H-2018/
Fair Oaks,DewPoint Temperature,forecast/simGroups/T2018/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Dew Point Temp/Temp-DewPoint//1Hour/Mar50-H-2018/
Fair Oaks,Wind Speed,forecast/simGroups/T2018/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Wind Speed/Speed-Wind//1Hour/Mar50-H-2018/
Fair Oaks,Wind Direction,forecast/simGroups/T2018/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Wind Direction/Dir-Wind//1Hour/Mar50-H-2018/
Mather AFB,Cloudiness,forecast/simGroups/T2018/bc.dss,/AMERICAN/MATHER AFB/CLOUD//1HOUR/Mar50-H-2018/
Fair Oaks,Shortwave Radiation,forecast/simGroups/T2018/bc.dss,/AMERICAN/FAIR OAKS/SHORTWAVE RADIATION//1HOUR/Mar50-H-2018/
FOLSOM,INFLOW,forecast/simGroups/T2018/bc.dss,//FOLSOM/INFLOW//1MON/Mar50-H-2018/
FOLSOM,FLOW-IN,forecast/simGroups/T2018/bc.dss,//FOLSOM/FLOW-IN//1DAY/Mar50-H-2018/
FOLSOM,EST. EVAP.,forecast/simGroups/T2018/bc.dss,//FOLSOM/EST. EVAP.//1MON/Mar50-H-2018/
FOLSOM,TOTAL RELEASE,forecast/simGroups/T2018/bc.dss,//FOLSOM/TOTAL RELEASE//1MON/Mar50-H-2018/
FOLSOM,FLOW-RELEASE,forecast/simGroups/T2018/bc.dss,//FOLSOM/FLOW-RELEASE//1HOUR/Mar50-H-2018/
FOLSOM,PUMPING (FP),forecast/simGroups/T2018/bc.dss,//FOLSOM/PUMPING (FP)//1MON/Mar50-H-2018/
FOLSOM,FLOW-PUMPING,forecast/simGroups/T2018/bc.dss,//FOLSOM/PUMPING (FP)//1DAY/Mar50-H-2018/
FOLSOM,FS CANAL (FSC),forecast/simGroups/T2018/bc.dss,//FOLSOM/FS CANAL (FSC)//1MON/Mar50-H-2018/
FOLSOM,FLOW-FSC,forecast/simGroups/T2018/bc.dss,//FOLSOM/FS CANAL (FSC)//1DAY/Mar50-H-2018/
FOLSOM,FLOW-NIMBUS MINIMUM (CFS),forecast/simGroups/T2018/bc.dss,//FOLSOM/FLOW-NIMBUS MINIMUM (CFS)//1MON/Mar50-H-2018/
FOLSOM,NIMBUS MINIMUM (TAF),forecast/simGroups/T2018/bc.dss,//FOLSOM/NIMBUS MINIMUM (TAF)//1MON/Mar50-H-2018/
LAKE NATOMA,ACTUAL NIMBUS RELEASE (TAF),forecast/simGroups/T2018/bc.dss,/AMERICAN RIVER/LAKE NATOMA/ACTUAL NIMBUS RELEASE (TAF)//1MON/Mar50-H-2018/
LAKE NATOMA,FLOW-NIMBUS ACTUAL,forecast/simGroups/T2018/bc.dss,/AMERICAN RIVER/LAKE NATOMA/FLOW-NIMBUS ACTUAL//1DAY/Mar50-H-2018/
FOLSOM,STORAGE,forecast/simGroups/T2018/bc.dss,//FOLSOM/STORAGE//1MON/Mar50-H-2018/
FOLSOM LAKE,STORAGE-CHANGE,forecast/simGroups/T2018/bc.dss,//FOLSOM LAKE/STORAGE-CHANGE//1MON/Mar50-H-2018/
FOLSOM,ELEVATION (FEET),forecast/simGroups/T2018/bc.dss,//FOLSOM/ELEVATION (FEET)//1MON/Mar50-H-2018/
FOLSOM,AREA (ACRES),forecast/simGroups/T2018/bc.dss,//FOLSOM/AREA (ACRES)//1MON/Mar50-H-2018/
FOLSOM,FLOW-AMER AFRP,forecast/simGroups/T2018/bc.dss,//FOLSOM/FLOW-AMER AFRP//1MON/Mar50-H-2018/
FOLSOM,FLOW-AFRP,forecast/simGroups/T2018/bc.dss,//FOLSOM/FLOW-AMER AFRP//1DAY/Mar50-H-2018/
FOLSOM LAKE,STORAGE-CVP,forecast/simGroups/T2018/bc.dss,/AMERICAN RIVER/FOLSOM LAKE/STORAGE-CVP//1DAY/Mar50-H-2018/
FOLSOM LAKE,FLOW-ACC-DEP,forecast/simGroups/T2018/bc.dss,/AMERICAN RIVER/FOLSOM LAKE/FLOW-ACC-DEP//1DAY/Mar50-H-2018/
Folsom-NF-in,FLOW-IN,forecast/simGroups/T2018/bc.dss,//Folsom-NF-in/FLOW-IN//1DAY/Mar50-H-2018/
Folsom-SF-in,FLOW-IN,forecast/simGroups/T2018/bc.dss,//Folsom-SF-in/FLOW-IN//1DAY/Mar50-H-2018/
